Object ID,FWHM BHA,FWHM BHB
1733-53047-0254,8793.37,6475.01
0332-52367-0639,6331.12,8390.82
0386-51788-0086,4633.04,6292.37
1384-53121-0250,5820.78,8018.92
2117-54115-0449,5125.69,14402.45
2520-54584-0628,6469.23,33906.74
1720-53854-0632,15420.23,10926.44
0646-52523-0075,11952.23,17371.68
1194-52703-0472,6956.91,3131.17
2511-53882-0029,12467.42,9030.61
2526-54582-0224,10406.83,9726.81
2587-54138-0200,5013.66,5828.34
1467-53115-0163,7013.05,8069.07
1211-52964-0539,4980.78,14924.34
0296-51984-0168,9078.44,2835.19
2167-53889-0484,5839.54,8339.36
1827-53531-0073,5555.79,4517.73
0401-51788-0129,3757.75,9842.73
0471-51924-0173,8146.83,9970.09
0522-52024-0479,10390.49,8851.79
0844-52378-0166,7105.70,8326.45
2149-54509-0402,9616.83,11655.36
1734-53034-0618,5548.51,5077.98
1850-53786-0112,11078.69,25661.69
2029-53819-0571,4691.53,5571.23
0407-51820-0090,13855.92,2831.47
0532-51993-0468,13015.14,15242.74
2032-53815-0335,23889.91,23295.84
2196-53534-0123,6176.50,6815.77
0982-52466-0539,6985.67,6587.38
2768-54265-0180,4715.62,6817.67
2438-54056-0301,6626.27,7684.59
2170-53875-0602,6407.59,8736.57
0852-52375-0258,15646.02,3047.55
2269-53711-0614,6816.64,6630.37
2037-53446-0015,6148.95,11321.95
1397-53119-0433,8075.13,11853.43
0741-52261-0254,10063.86,9708.92
1056-52764-0088,7010.83,8843.45
0462-51909-0133,5548.19,13110.26
0579-52338-0479,5305.78,7240.28
1365-53062-0378,6113.15,11431.83
0622-52054-0241,7966.38,13649.45
2355-53792-0203,2824.60,6043.21
0884-52374-0133,6486.36,4469.10
0487-51943-0154,8247.84,14196.45
1401-53144-0580,8567.07,19780.02
0508-52366-0177,4837.36,6176.39
1619-53084-0581,11242.99,14570.84
0599-52317-0504,5722.47,9649.23
1210-52701-0429,4526.94,11398.92
1837-53494-0494,7028.46,9057.78
1759-53081-0175,10362.33,20365.20
0491-51942-0402,7842.95,16179.67
1921-53317-0110,6633.08,6460.95
2477-54058-0014,7096.62,8581.62
1736-53052-0620,6130.53,7248.76
0878-52353-0598,5164.97,8531.05
0941-52709-0502,4367.14,6398.25
2156-54525-0390,6762.18,18782.91
2220-53795-0607,7605.18,12864.76
1618-53116-0133,7852.10,17083.19
0736-52221-0064,6580.38,4540.96
1785-54439-0481,9850.92,10349.98
0789-52342-0507,5563.32,6418.54
1943-53386-0466,5459.38,6747.00
2025-53431-0525,3627.23,12144.15
0301-51942-0468,6066.39,7224.89
1841-53491-0096,3909.23,2801.16
0665-52168-0597,6829.32,7471.76
1727-53859-0071,7175.51,4446.18
1305-52757-0281,23366.59,24940.50
0585-52027-0124,8879.41,16371.52
1376-53089-0613,5836.79,7184.29
1937-53388-0528,6363.28,6164.82
0646-52523-0109,6396.68,21779.05
0637-52174-0411,6684.22,8028.46
1420-53146-0402,5429.24,12158.97
0946-52407-0518,7727.54,14492.94
2521-54538-0269,7368.50,20090.94
1364-53061-0268,5025.61,6634.36
0438-51884-0384,35000.32,8033.87
1385-53108-0192,10564.75,35837.41
0341-51690-0387,7281.79,9784.34
0299-51671-0087,3395.74,15574.42
2090-53463-0457,5370.20,4225.06
0851-52376-0550,9607.66,16955.03
1720-53854-0151,12083.62,11646.61
0993-52710-0065,4671.93,4929.41
1040-52722-0522,6396.62,13896.01
1827-53531-0375,6084.74,7013.10
1267-52932-0066,5081.30,9315.54
2096-53446-0045,8416.73,5694.64
1009-52644-0568,4745.68,10532.78
2482-54175-0155,4055.57,4323.24
2533-54585-0133,5015.21,5339.72
2619-54506-0098,5650.98,11145.57
2884-54526-0177,8134.23,5212.18
1977-53475-0093,6830.24,8588.77
2112-53534-0507,9400.62,6816.80
0813-52354-0561,12161.98,5048.03
2017-53474-0211,15017.87,18223.46
2289-53708-0112,5838.19,6424.45
1009-52644-0363,4702.05,8322.19
2357-53793-0062,7608.84,23121.12
0840-52374-0264,5718.01,13299.57
0650-52143-0236,7085.71,5584.70
0888-52339-0639,5985.19,6332.21
2366-53741-0456,15573.45,14080.71
1805-53875-0587,6225.61,9270.28
1047-52733-0495,8287.30,2866.18
2147-53491-0605,4100.80,4625.16
0590-52057-0266,4857.33,5021.62
1308-53053-0169,7577.62,6732.26
2145-54212-0182,8235.89,11510.90
1395-52825-0189,7497.67,14174.59
1610-53144-0469,4983.80,4853.39
0776-52319-0495,6503.12,4898.44
2532-54589-0358,9141.59,11386.71
0853-52374-0240,7660.97,7858.74
2784-54529-0027,7920.79,12459.25
0983-52443-0374,7326.96,9604.48
0843-52378-0568,9512.45,7545.39
2499-54176-0079,10611.61,11294.20
0612-52079-0614,8834.84,2849.29
0281-51614-0351,5761.20,2865.89
2294-54524-0636,4827.74,3016.27
0285-51930-0280,5860.12,8542.77
2155-53820-0195,8543.56,26976.32
0955-52409-0230,13426.12,9172.49
2425-54139-0164,8524.39,17653.22
1797-54507-0133,8817.64,3444.56
1595-52999-0001,9783.98,22619.12
0342-51691-0391,19577.55,32701.73
2766-54242-0154,6852.40,4834.81
2353-53794-0358,7109.60,10529.15
0393-51794-0168,5034.75,7437.84
1464-53091-0460,15035.54,34802.96
1268-52933-0564,5648.04,7457.81
1844-54138-0071,8104.49,5083.24
2594-54177-0415,6016.57,13641.06
1763-53463-0575,9799.00,10039.05
0467-51901-0608,6873.73,9174.07
1849-53846-0115,5424.57,5364.01
1611-53147-0563,6891.47,7151.19
0627-52144-0551,7768.61,9546.05
0556-51991-0472,4811.01,6038.22
1807-54175-0261,5091.37,5780.09
2648-54485-0099,18762.99,25428.49
0394-51913-0535,10671.93,10579.74
1282-52759-0246,6270.41,8430.47
2649-54212-0215,4551.68,4937.95
1002-52646-0003,10804.59,13137.59
1745-53061-0610,4284.92,3015.90
0842-52376-0530,8087.90,14002.78
0631-52079-0324,6507.92,35041.00
0606-52365-0154,33846.24,3511.86
2282-53683-0609,6792.10,5126.20
2170-53875-0201,7131.99,8546.40
1624-53386-0032,9573.00,9543.22
1780-53090-0225,11054.23,15686.35
1864-53313-0068,5745.81,5704.21
1872-53386-0553,6173.74,22951.50
1716-53827-0140,7756.69,15471.23
2243-53794-0381,9036.12,9013.06
2022-53827-0286,7435.53,11087.22
0827-52312-0064,8680.35,2812.87
1462-53112-0400,5775.79,12060.63
1575-53493-0088,6412.09,12826.08
1959-53440-0066,6244.45,6581.82
1019-52707-0210,6547.89,5810.48
0430-51877-0600,5839.36,2824.60
0524-52027-0131,6937.15,6197.92
1783-53386-0514,5066.92,7836.74
1813-53903-0462,7348.54,5601.27
0487-51943-0244,8897.96,17460.65
0912-52427-0339,16696.03,16954.42
1600-53090-0079,4977.52,7905.03
1277-52765-0332,5354.07,5068.98
0526-52312-0537,3893.46,7773.00
1224-52765-0400,8143.95,7817.65
0592-52025-0376,5181.63,8518.20
2147-53491-0162,5155.29,5566.53
1331-52766-0275,10024.24,6956.85
1951-53389-0400,8716.22,10443.16
1424-52912-0581,15305.38,11236.46
2782-54592-0204,5448.44,5335.05
2774-54534-0430,6455.50,13351.94
1721-53857-0045,4691.61,4830.22
1945-53387-0472,6039.54,5336.47
2781-54266-0054,5483.81,5366.57
0881-52368-0373,6855.19,2834.84
1648-53171-0548,4625.05,2824.46
1049-52751-0353,5085.59,6003.43
1338-52765-0257,7935.47,12561.54
1626-53472-0292,7190.31,8947.15
0950-52378-0475,4331.42,12049.11
0605-52353-0258,6252.67,7020.38
1605-53062-0038,6408.99,9535.10
2651-54507-0448,4375.88,5713.19
0451-51908-0133,5061.95,4632.16
1409-52824-0289,8242.23,9089.15
2770-54510-0096,6319.87,2804.52
1864-53313-0570,7522.76,13743.80
0765-52254-0058,5870.47,7236.99
2605-54484-0272,6615.48,2821.99
0354-51792-0092,5000.17,2824.21
0649-52201-0406,5589.15,9009.56
0876-52669-0330,6361.78,6977.40
2286-53700-0208,6194.25,2837.02
0270-51909-0543,23032.73,35268.87
2297-53738-0398,10825.16,10441.74
2094-53851-0620,7319.41,6091.92
0309-51994-0332,9329.79,34967.08
1726-53137-0566,6008.25,12614.62
2973-54591-0190,4409.80,10891.99
0625-52145-0637,8966.59,35411.07
2116-53854-0621,6653.23,7714.28
1040-52722-0383,9967.05,19421.76
2593-54175-0025,9709.35,14659.03
2349-53734-0287,22380.92,3487.16
2761-54534-0018,8117.91,6636.48
1871-53384-0178,5748.07,9654.45
2219-53816-0406,6384.58,5295.71
1930-53347-0584,5168.87,5636.79
2743-54259-0576,4356.26,11835.90
2782-54592-0012,6267.06,5797.47
1634-53299-0559,5929.31,33532.50
0513-51989-0110,7703.02,6345.29
2615-54483-0597,7822.82,8513.33
0508-52366-0156,10377.78,9512.72
0273-51957-0008,4510.94,8034.21
1814-54555-0405,7299.71,12091.04
2948-54553-0336,6123.98,11384.94
2586-54169-0525,5781.94,9000.99
2362-53759-0412,7693.45,11915.03
0761-54524-0071,6980.83,8808.57
1167-52738-0381,8153.84,8680.36
1039-52707-0044,7559.94,10348.57
1187-52708-0120,8848.36,12520.95
1353-53083-0639,10467.27,11667.70
1457-53116-0570,10147.56,30571.01
1612-53149-0471,5593.90,30361.46
0576-52325-0374,6126.21,6226.60
0519-52283-0177,5644.05,9114.54
0719-52203-0092,9042.44,6620.54
0655-52162-0315,5682.49,5726.44
1649-53149-0638,7895.72,12617.31
2033-53476-0104,4914.96,5387.65
1866-53314-0508,7295.54,4653.74
0570-52266-0517,4572.42,6453.33
2031-53848-0060,11108.29,14296.52
0845-52381-0038,5608.20,8726.99
1189-52668-0447,7294.39,5416.16
0564-52224-0278,7197.64,34897.80
0936-52705-0463,7499.71,13502.64
1450-53120-0130,10585.19,12780.94
0521-52326-0008,5519.04,5239.42
2488-54149-0503,6046.63,6578.05
0939-52636-0448,5152.59,6342.34
1440-53084-0178,9045.82,11062.57
1417-53141-0516,2850.88,2853.09
1848-54180-0559,9147.49,13155.68
0453-51915-0119,11793.29,13620.67
0662-52147-0297,5994.09,12005.69
2110-53467-0119,9492.71,18724.48
1600-53090-0602,9484.05,12757.76
0473-51929-0375,4789.55,4859.01
1833-54561-0539,7137.17,5277.80
1926-53317-0608,9245.54,15458.87
0375-52140-0361,5664.59,6082.45
0885-52379-0261,4559.24,5937.48
0481-51908-0231,5232.76,8416.35
2974-54592-0229,7446.84,2850.57
0604-52079-0090,5787.38,9689.57
0972-52435-0080,5261.40,6857.12
1704-53178-0104,11747.97,34984.07
1993-53762-0351,5721.63,5544.89
