Sourcename,H beta mean SNR,H alpha mean SNR,Total SNR
0309-51994-0332,23.77998,14.066845,15.282041
1720-53854-0151,10.534016609191896,7.126097679138184,7.8075852394104
0481-51908-0231,39.35558319091797,29.97470474243164,30.664566040039062
2605-54484-0272,19.539865493774418,14.028178215026855,13.012893676757812
0270-51909-0543,30.11945343017578,23.36061668395996,21.445632934570312
2282-53683-0609,9.962504386901855,5.774857044219971,6.619334697723389
0296-51984-0168,19.017181396484375,14.646502494812012,12.19510555267334
1611-53147-0563,9.179205894470217,6.160679340362549,5.797800540924072
0637-52174-0411,19.041118621826172,11.50760555267334,12.88726806640625
2648-54485-0099,31.62390899658203,25.96636199951172,23.576997756958008
2025-53431-0525,15.96726894378662,12.132075309753418,10.643807411193848
0627-52144-0551,17.100481033325195,10.66953945159912,12.622568130493164
2766-54242-0154,31.359939575195312,24.10073471069336,23.06405258178711
1814-54555-0405,26.130870819091797,19.044374465942383,18.92603874206543
1211-52964-0539,12.374387741088867,9.667805671691896,8.321598052978516
1785-54439-0481,38.5548095703125,29.296262741088867,33.07230758666992
0467-51901-0608,12.143402099609377,8.085089683532715,7.37701416015625
1424-52912-0581,15.300653457641602,9.64378547668457,9.880839347839355
0354-51792-0092,29.227354049682617,20.37168884277344,20.31344985961914
0843-52378-0568,9.792254447937012,7.246069431304932,6.340388298034668
2586-54169-0525,17.778522491455078,12.602264404296877,12.836224555969238
1167-52738-0381,18.57010269165039,13.224701881408691,12.35855770111084
1720-53854-0632,13.478736877441406,9.36306095123291,8.43994140625
2110-53467-0119,32.42768478393555,24.60241317749023,23.834672927856445
0394-51913-0535,32.25398254394531,22.526575088500977,20.436811447143555
0936-52705-0463,17.511531829833984,11.681382179260254,12.291728019714355
0776-52319-0495,24.161815643310547,15.90204906463623,18.390893936157227
2974-54592-0229,28.95588493347168,20.79943084716797,21.58940315246582
0605-52353-0258,12.813758850097656,8.24075698852539,8.172982215881348
0342-51691-0391,14.54103946685791,13.393950462341309,9.08948802947998
1733-53047-0254,15.816259384155272,11.939712524414062,9.91209316253662
0524-52027-0131,17.219993591308594,11.755425453186035,12.15668773651123
0487-51943-0244,20.345537185668945,14.721281051635742,13.227989196777344
1331-52766-0275,21.225439071655273,14.097427368164062,14.748722076416016
2353-53794-0358,12.03676414489746,9.43637752532959,8.270313262939453
2269-53711-0614,30.79909324645996,22.6715145111084,22.23920631408691
1467-53115-0163,21.913536071777344,13.559127807617188,16.07073402404785
0564-52224-0278,13.225366592407228,9.297024726867676,8.228108406066895
0840-52374-0264,16.384784698486328,9.821126937866213,11.78111743927002
2349-53734-0287,9.124192237854004,5.632942199707031,6.346338748931885
0845-52381-0038,26.0543212890625,16.838024139404297,17.956235885620117
1841-53491-0096,21.84020233154297,14.892082214355469,15.151215553283691
1040-52722-0522,21.10372734069824,13.951423645019531,14.886630058288574
2761-54534-0018,33.15559768676758,24.548540115356445,23.295888900756836
1930-53347-0584,24.982177734375,17.308866500854492,17.586820602416992
1420-53146-0402,31.093395233154297,22.100080490112305,21.409584045410156
1618-53116-0133,24.3305721282959,15.77968406677246,16.361248016357422
0430-51877-0600,30.297271728515625,22.255353927612305,22.65245246887207
1833-54561-0539,16.687763214111328,12.566509246826172,11.650501251220703
0650-52143-0236,12.134215354919434,8.696348190307617,7.657779216766357
1649-53149-0638,26.827850341796875,19.083457946777344,19.6480712890625
1745-53061-0610,20.05895233154297,14.035696983337402,13.328763008117676
2438-54056-0301,25.176496505737305,17.641183853149414,17.61133575439453
2482-54175-0155,14.480849266052246,10.813443183898926,9.347455978393556
1864-53313-0570,25.32334327697754,18.451990127563477,16.988525390625
0519-52283-0177,11.050134658813477,6.780955791473389,8.191398620605469
0407-51820-0090,38.069969177246094,26.00003242492676,25.560094833374023
1783-53386-0514,33.818023681640625,23.546430587768555,26.0364990234375
1187-52708-0120,21.73064422607422,16.812667846679688,14.852418899536133
0842-52376-0530,22.286611557006836,15.06386661529541,16.824819564819336
0649-52201-0406,16.977893829345703,10.907687187194824,12.124593734741213
2117-54115-0449,54.297969818115234,47.01508712768555,47.194793701171875
2973-54591-0190,39.530296325683594,17.73798942565918,32.629459381103516
0888-52339-0639,21.20702362060547,14.794200897216797,15.520809173583984
1921-53317-0110,20.782684326171875,14.487154960632324,14.86279010772705
0491-51942-0402,34.624290466308594,23.35739517211914,22.85055160522461
1848-54180-0559,41.9318962097168,33.940982818603516,32.203582763671875
2112-53534-0507,15.511521339416504,10.855584144592283,10.435327529907228
0853-52374-0240,16.680238723754883,11.284805297851562,12.413718223571776
1600-53090-0602,16.929767608642578,12.086759567260742,12.192852020263672
0876-52669-0330,20.568052291870117,13.59872817993164,13.42121410369873
1951-53389-0400,23.41643714904785,17.260282516479492,15.77997589111328
1450-53120-0130,13.37299633026123,11.190156936645508,8.636857986450195
2031-53848-0060,21.20548439025879,17.70013427734375,15.53231143951416
1716-53827-0140,32.16286087036133,23.12543678283691,23.7640323638916
0625-52145-0637,21.503116607666016,17.45442771911621,14.217857360839844
1009-52644-0363,13.995440483093262,8.678958892822266,11.007169723510742
1827-53531-0073,11.326119422912598,7.415760040283203,7.599644660949707
0612-52079-0614,21.11178398132324,13.552788734436035,13.631755828857422
0736-52221-0064,16.65786361694336,11.977718353271484,10.80916976928711
2243-53794-0381,14.486711502075195,9.959117889404297,11.169071197509766
1813-53903-0462,46.96196746826172,37.35001754760742,35.51913070678711
2219-53816-0406,14.96799373626709,10.945639610290527,10.04308032989502
1926-53317-0608,21.60387802124023,13.642480850219728,16.63729476928711
0741-52261-0254,16.6269474029541,12.1267671585083,11.155841827392578
1210-52701-0429,10.212804794311523,6.716545104980469,7.0951762199401855
0471-51924-0173,17.813961029052734,14.774994850158691,11.759869575500488
0662-52147-0297,22.70763397216797,14.170686721801758,15.427188873291016
1977-53475-0093,14.555083274841309,10.561838150024414,9.736469268798828
2170-53875-0602,19.643369674682617,13.578039169311523,12.848155975341797
0972-52435-0080,16.931554794311523,10.909289360046388,11.755834579467772
1364-53061-0268,10.785186767578123,6.914317607879639,6.778743743896484
1409-52824-0289,13.10076141357422,9.596358299255373,8.38961410522461
1850-53786-0112,40.180633544921875,32.77337646484375,28.94335174560547
1864-53313-0068,36.115623474121094,28.57846450805664,25.608243942260746
0299-51671-0087,11.100637435913086,7.406336307525635,6.365446090698242
0827-52312-0064,18.92459297180176,13.95346450805664,12.340887069702148
1595-52999-0001,26.531909942626953,21.772336959838867,18.28152656555176
2521-54538-0269,8.756022453308105,7.76648473739624,6.616425037384033
0281-51614-0351,25.627153396606445,20.308835983276367,17.022377014160156
0622-52054-0241,27.61997413635254,18.608705520629883,21.734699249267575
2022-53827-0286,49.855079650878906,43.239959716796875,42.03720474243164
2357-53793-0062,22.592554092407227,15.588617324829102,15.1478853225708
2220-53795-0607,23.970104217529297,15.048748970031738,17.42879295349121
0590-52057-0266,10.834997177124023,7.169333457946777,6.975000858306885
2587-54138-0200,17.70943832397461,15.09842586517334,11.601566314697266
2149-54509-0402,33.37358093261719,24.05596351623535,28.091323852539062
2090-53463-0457,19.759567260742188,12.856467247009276,13.987716674804688
2096-53446-0045,13.989030838012695,10.155217170715332,9.16989517211914
2619-54506-0098,21.030059814453125,13.57968521118164,15.3838529586792
1338-52765-0257,16.005956649780273,11.200364112854004,11.990583419799805
2017-53474-0211,18.59774398803711,12.168706893920898,15.063780784606934
0646-52523-0109,27.2535343170166,18.82915687561035,17.66055679321289
0401-51788-0129,22.4078311920166,14.527582168579102,15.13298225402832
0982-52466-0539,15.181410789489746,12.22134494781494,10.435897827148438
1759-53081-0175,12.108863830566406,12.08194065093994,8.001747131347656
2768-54265-0180,37.31721878051758,28.329999923706055,26.567598342895508
1009-52644-0568,12.232511520385742,8.312047958374023,7.988363265991211
0912-52427-0339,16.744857788085938,11.997462272644045,11.314178466796877
1282-52759-0246,14.83917236328125,10.231955528259276,9.846081733703612
1612-53149-0471,11.999556541442873,8.488890647888184,7.877197265625
1308-53053-0169,36.280391693115234,29.986433029174805,26.838024139404297
0646-52523-0075,19.972118377685547,13.03632354736328,12.6509428024292
0579-52338-0479,11.563347816467283,8.687907218933105,7.849685192108154
0851-52376-0550,21.515039443969727,9.793134689331056,13.751229286193848
2362-53759-0412,17.54303550720215,11.492975234985352,12.297613143920898
0521-52326-0008,10.60116958618164,7.026543140411377,7.247620582580566
0885-52379-0261,17.25885009765625,12.75290298461914,11.738083839416504
1040-52722-0383,22.794649124145508,16.109230041503906,15.13808536529541
1376-53089-0613,21.487205505371097,13.41210651397705,17.697921752929688
2094-53851-0620,36.81361770629883,27.275352478027344,28.232730865478516
1047-52733-0495,44.35244369506836,38.00077438354492,34.57432556152344
1626-53472-0292,25.274995803833008,18.73727035522461,19.95638084411621
0844-52378-0166,17.74315643310547,12.593094825744627,11.77265453338623
1462-53112-0400,14.005290031433104,9.488004684448242,8.920108795166016
2425-54139-0164,34.83464050292969,24.725509643554688,26.00762939453125
2948-54553-0336,13.303023338317873,8.678146362304688,9.774882316589355
0393-51794-0168,17.04957389831543,11.195300102233888,11.041056632995604
1648-53171-0548,24.666776657104492,17.21160125732422,15.795939445495604
1397-53119-0433,35.2298469543457,22.81416130065918,24.826826095581055
2511-53882-0029,27.207439422607425,19.951343536376953,19.357879638671875
2286-53700-0208,19.44413375854492,14.010358810424805,12.657063484191896
1727-53859-0071,19.12336540222168,13.764837265014648,12.021586418151855
1844-54138-0071,30.032981872558594,23.62871742248535,19.91401100158691
2156-54525-0390,36.546573638916016,25.77132797241211,27.08603858947754
2593-54175-0025,16.9043025970459,11.677404403686523,11.871631622314451
1268-52933-0564,12.234475135803224,8.369778633117676,8.338936805725098
1827-53531-0375,27.71122360229492,29.940948486328125,23.936777114868164
2297-53738-0398,12.879438400268556,9.449665069580078,8.66540813446045
0852-52375-0258,14.536581039428713,10.344595909118652,9.674654960632324
1780-53090-0225,29.025297164916992,22.802263259887695,19.865249633789062
0946-52407-0518,26.210630416870117,18.12874984741211,17.880809783935547
0532-51993-0468,12.590484619140623,9.528276443481444,8.471649169921875
1797-54507-0133,9.09900951385498,6.159297466278076,5.935586929321289
1039-52707-0044,41.713008880615234,32.68558883666992,31.259321212768555
1575-53493-0088,34.86747360229492,27.7105770111084,24.886302947998047
2533-54585-0133,19.19712257385254,14.574606895446776,13.827951431274414
2032-53815-0335,17.248783111572266,11.412384033203123,11.80671501159668
1624-53386-0032,59.89120101928711,54.59099197387695,49.788818359375
1993-53762-0351,16.17247772216797,10.36563205718994,11.913045883178713
1464-53091-0460,22.965068817138672,15.890748977661133,16.62273406982422
0813-52354-0561,32.6329231262207,24.1179141998291,22.77057647705078
0939-52636-0448,17.01034927368164,10.537065505981444,11.221016883850098
1267-52932-0066,23.54983901977539,15.665273666381836,18.05997085571289
1619-53084-0581,24.52717399597168,17.113189697265625,17.157245635986328
0576-52325-0374,12.187713623046877,7.3991241455078125,8.757928848266602
1837-53494-0494,41.95765686035156,31.601037979125977,29.97195816040039
2782-54592-0204,20.416675567626953,12.789263725280762,15.785271644592283
1704-53178-0104,58.73233413696289,39.58824157714844,43.799774169921875
0955-52409-0230,20.727785110473633,14.518214225769045,13.852740287780762
1353-53083-0639,14.547618865966797,10.228374481201172,10.98267650604248
0341-51690-0387,24.180593490600582,16.383209228515625,15.885254859924316
2294-54524-0636,22.25103759765625,14.901962280273438,14.8402681350708
0508-52366-0177,17.960491180419922,11.124216079711914,13.99272632598877
1194-52703-0472,22.93557929992676,16.087615966796875,15.607409477233888
2355-53792-0203,21.19514274597168,14.575507164001465,14.74042797088623
1049-52751-0353,7.941766738891602,6.4108710289001465,5.259708404541016
2029-53819-0571,13.464862823486328,7.713805675506592,8.694372177124023
1002-52646-0003,8.526227951049805,6.3962883949279785,5.780494689941406
0487-51943-0154,18.113922119140625,15.79873275756836,11.831955909729004
1763-53463-0575,14.852473258972168,11.00259780883789,9.693926811218262
0631-52079-0324,15.151626586914062,9.450642585754396,10.158886909484863
1807-54175-0261,9.654873847961426,7.129397392272949,6.304313659667969
0761-54524-0071,31.242433547973633,23.28452491760254,24.71893310546875
1634-53299-0559,8.54948616027832,6.98947811126709,5.370873928070068
1872-53386-0553,15.81314754486084,9.891257286071776,10.310673713684082
0473-51929-0375,12.241144180297852,9.507676124572754,8.062591552734375
1401-53144-0580,10.32247829437256,6.438083648681641,7.096484661102295
2499-54176-0079,12.745844841003418,9.693284034729004,9.05502223968506
2770-54510-0096,43.5472297668457,34.05098342895508,33.27851486206055
1849-53846-0115,27.53373146057129,19.90652084350586,20.491395950317383
1189-52668-0447,13.41856575012207,9.22716999053955,8.549408912658691
2155-53820-0195,26.488290786743164,19.583351135253903,18.422672271728516
2366-53741-0456,28.40584373474121,19.999923706054688,19.794530868530273
0332-52367-0639,36.24845886230469,29.02368927001953,28.660228729248047
1937-53388-0528,10.151843070983888,8.030875205993652,6.553286552429199
2477-54058-0014,47.13676452636719,34.82090759277344,36.321292877197266
1305-52757-0281,32.814823150634766,22.902284622192383,25.264896392822266
1385-53108-0192,18.57933235168457,13.08127498626709,11.903711318969728
2532-54589-0358,18.728342056274418,12.650815963745115,13.022215843200684
1384-53121-0250,8.072739601135254,6.304372787475586,5.767614841461182
2651-54507-0448,16.943340301513672,11.225741386413574,11.136730194091797
1019-52707-0210,18.99367904663086,13.24307918548584,13.562734603881836
1417-53141-0516,23.34248161315918,13.00068473815918,16.54701805114746
0508-52366-0156,14.167738914489746,9.338652610778809,10.711804389953612
1395-52825-0189,27.17923164367676,19.591867446899418,19.184223175048828
1734-53034-0618,15.576275825500488,11.060983657836914,10.678462028503418
0585-52027-0124,10.138957023620604,7.436586856842041,6.779366970062256
0884-52374-0133,15.967490196228027,10.645845413208008,10.611489295959473
0606-52365-0154,37.73360824584961,31.316560745239254,27.57343101501465
0993-52710-0065,8.482863426208496,7.368639469146728,5.417009353637695
0522-52024-0479,17.002649307250977,10.693324089050291,11.287142753601074
1721-53857-0045,13.27655029296875,9.280366897583008,8.556645393371582
0301-51942-0468,17.258913040161133,11.772260665893556,11.231528282165527
2526-54582-0224,13.217713356018066,11.705963134765623,8.525643348693848
1224-52765-0400,21.775789260864254,14.394939422607422,15.977346420288086
1056-52764-0088,35.81537628173828,29.31708526611328,26.66003036499023
0599-52317-0504,18.94349479675293,12.966278076171877,13.057465553283691
2196-53534-0123,10.910167694091797,7.487115859985352,7.5575971603393555
2170-53875-0201,12.90041732788086,10.092676162719728,8.127141952514648
2520-54584-0628,31.50152587890625,22.88455581665039,20.779935836791992
0453-51915-0119,12.737971305847168,8.297636032104492,9.671140670776367
0881-52368-0373,22.62599754333496,16.02048683166504,14.718997955322266
1457-53116-0570,20.28827857971191,13.359807014465332,13.40382957458496
0719-52203-0092,28.92402458190918,21.455961227416992,19.116514205932617
0273-51957-0008,7.528047561645508,5.658081531524658,4.951248645782471
